SKU Code,Design No.,Stock,Category,Size,Color
AN201-RED-L,AN201,5.0,AN : LEGGINGS,L,RED
AN201-RED-M,AN201,5.0,AN : LEGGINGS,M,RED
AN201-RED-S,AN201,3.0,AN : LEGGINGS,S,RED
AN201-RED-XL,AN201,6.0,AN : LEGGINGS,XL,RED
AN201-RED-XXL,AN201,3.0,AN : LEGGINGS,XXL,RED
AN202-ORANGE-L,AN202,11.0,AN : LEGGINGS,L,ORANGE
AN202-ORANGE-M,AN202,3.0,AN : LEGGINGS,M,ORANGE
AN202-ORANGE-S,AN202,16.0,AN : LEGGINGS,S,ORANGE
AN202-ORANGE-XL,AN202,8.0,AN : LEGGINGS,XL,ORANGE
AN202-ORANGE-XXL,AN202,14.0,AN : LEGGINGS,XXL,ORANGE
AN203-MAROON-L,AN203,1.0,AN : LEGGINGS,L,MAROON
AN203-MAROON-M,AN203,2.0,AN : LEGGINGS,M,MAROON
AN203-MAROON-S,AN203,2.0,AN : LEGGINGS,S,MAROON
AN203-MAROON-XL,AN203,2.0,AN : LEGGINGS,XL,MAROON
AN203-MAROON-XXL,AN203,3.0,AN : LEGGINGS,XXL,MAROON
AN204-PURPLE-L,AN204,10.0,AN : LEGGINGS,L,PURPLE
AN204-PURPLE-M,AN204,4.0,AN : LEGGINGS,M,PURPLE
AN204-PURPLE-S,AN204,6.0,AN : LEGGINGS,S,PURPLE
AN204-PURPLE-XL,AN204,3.0,AN : LEGGINGS,XL,PURPLE
AN204-PURPLE-XXL,AN204,5.0,AN : LEGGINGS,XXL,PURPLE
AN205-YELLOW-L,AN205,9.0,AN : LEGGINGS,L,YELLOW
AN205-YELLOW-M,AN205,7.0,AN : LEGGINGS,M,YELLOW
AN205-YELLOW-S,AN205,6.0,AN : LEGGINGS,S,YELLOW
AN205-YELLOW-XL,AN205,7.0,AN : LEGGINGS,XL,YELLOW
AN205-YELLOW-XXL,AN205,13.0,AN : LEGGINGS,XXL,YELLOW
AN206-GREEN-L,AN206,10.0,AN : LEGGINGS,L,GREEN
AN206-GREEN-M,AN206,13.0,AN : LEGGINGS,M,GREEN
AN206-GREEN-S,AN206,13.0,AN : LEGGINGS,S,GREEN
AN206-GREEN-XL,AN206,15.0,AN : LEGGINGS,XL,GREEN
AN206-GREEN-XXL,AN206,13.0,AN : LEGGINGS,XXL,GREEN
